"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"126",1,2022,8,19,3430,38,601863821,45,69,95,87,57,55,10,0,29,7
"465",1,2022,12,9,906,0,88092256,6,21,76,60,19,20,78,0,11,5
"253",1,2021,12,10,2585,32,415932686,3,79,105,65,46,53,16,0,9,5
"164",1,2010,1,1,4564,16,621660989,24,101,164,45,24,62,8,0,16,3
"106",1,2022,4,20,266,27,77309611,6,40,158,54,50,40,61,0,10,6
"231",1,2022,6,29,8186,12,822633917,155,72,169,69,69,51,63,0,38,4
"355",2,2022,10,19,3645,15,380726517,118,34,132,87,82,70,42,0,21,5
"327",1,2019,5,10,1640,0,244658767,27,27,150,90,64,14,67,35,11,10
"342",1,2022,12,15,2301,20,298063749,49,23,146,74,51,45,86,0,21,38
"153",2,2010,1,1,17138,37,1279434863,119,81,130,47,86,92,8,0,5,24
"454",1,2011,1,1,9577,0,629173063,195,111,162,67,88,54,51,0,9,4
"105",1,2023,7,7,77,35,29562220,8,166,134,81,53,72,51,0,12,5
"116",1,2014,12,9,21164,36,1791000570,80,65,100,70,47,52,30,0,6,33
